date,category,amount,description
2024-03-08,Utilities,75.00,Internet bill
2024-03-08,Utilities,89.99,Cable TV service
2024-03-08,Utilities,65.00,Phone bill
2024-03-08,Transport,45.00,Gas station fill up
2024-03-08,Transport,40.00,Fuel purchase
2024-03-08,Transport,42.50,Gasoline
2024-03-08,Food,95.50,Costco groceries
2024-03-08,Food,82.75,Sam's Club groceries
2024-03-08,Food,78.99,BJ's wholesale shopping
2024-03-09,Health,25.00,Vitamin supplements
2024-03-09,Health,35.00,Protein powder
2024-03-09,Health,28.99,Health supplements
2024-03-09,Food,18.50,Chipotle burrito bowl
2024-03-09,Food,16.99,Qdoba Mexican bowl
2024-03-09,Food,15.75,Moe's Southwest grill
2024-03-09,Entertainment,15.99,Spotify premium
2024-03-09,Entertainment,9.99,Apple Music
2024-03-09,Entertainment,12.99,YouTube Premium
2024-03-10,Shopping,75.00,H&M clothing
2024-03-10,Shopping,95.00,Zara outfits
2024-03-10,Shopping,85.00,Uniqlo basics
2024-03-10,Food,22.50,Panera Bread lunch
2024-03-10,Food,18.99,Corner Bakery cafe
2024-03-10,Food,16.75,Au Bon Pain
2024-03-10,Transport,28.00,Lyft ride
2024-03-10,Transport,25.50,Uber trip
2024-03-10,Transport,30.00,Taxi service
2024-03-11,Food,42.00,Thai restaurant dinner
2024-03-11,Food,38.50,Sushi dinner
2024-03-11,Food,45.00,Korean BBQ
2024-03-11,Utilities,120.00,Gas bill
2024-03-11,Utilities,95.00,Electric bill
2024-03-11,Utilities,75.00,Water service
2024-03-11,Entertainment,49.99,Video game purchase
2024-03-11,Entertainment,59.99,PlayStation game
2024-03-11,Entertainment,39.99,Steam game purchase
2024-03-12,Transport,150.00,Car maintenance
2024-03-12,Transport,75.00,Oil change
2024-03-12,Transport,250.00,Brake service
2024-03-12,Food,35.75,Whole Foods groceries
2024-03-12,Food,42.50,Trader Joe's shopping
2024-03-12,Food,55.00,Organic market
2024-03-12,Health,45.00,Gym membership
2024-03-12,Health,55.00,Yoga classes
2024-03-12,Health,35.00,Fitness app subscription
2024-03-13,Shopping,250.00,Apple AirPods
2024-03-13,Shopping,199.99,Wireless headphones
2024-03-13,Shopping,149.99,Bluetooth earbuds
2024-03-13,Food,16.99,Burger King meal
2024-03-13,Food,15.75,Wendy's combo
2024-03-13,Food,12.99,McDonald's meal
2024-03-13,Entertainment,29.99,Disney+ subscription
2024-03-13,Entertainment,19.99,HBO Max
2024-03-13,Entertainment,14.99,Paramount+
2024-03-14,Transport,4.50,Metro card recharge
2024-03-14,Transport,5.00,Bus pass
2024-03-14,Transport,3.75,Subway fare
2024-03-14,Food,55.00,Sushi dinner
2024-03-14,Food,45.00,Japanese restaurant
2024-03-14,Food,65.00,Hibachi grill
2024-03-14,Utilities,65.00,Phone bill
2024-03-14,Utilities,55.00,Mobile service
2024-03-14,Utilities,75.00,Internet and phone bundle
2024-03-15,Health,75.00,Eye checkup
2024-03-15,Health,150.00,Dental cleaning
2024-03-15,Health,200.00,Medical consultation 
2025-03-16,Transport,29.0,metro fare
2025-03-16,Health,23.0,vitamin c
2025-03-16,Transport,23.0,metro ticket
2025-03-17,Other,2500.0,starbucks
2025-03-17,Other,25000.0,Electronics
